station,Longitude,Latitude,county,
Pakri,24.040034,59.389471,Harju county,0
Tallinn-Harku,24.602871,59.398122,Harju county,0
Heltermaa,23.0437,58.8642,Hiiu county,1
Kõrgessaare,22.46472334,58.99305504,Hiiu county,1
Ristna,22.06638878,58.920836,Hiiu county,1
Jõhvi,27.39832607,59.32889273,Ida-Viru county,2
Narva,28.10916759,59.38944226,Ida-Viru county,2
Türi,25.40916632,58.80861281,Järva county,3
Jõgeva,26.41499562,58.74972678,Jõgeva county,4
Tiirikoja,26.95222726,58.86527765,Jõgeva county,4
Tooma,26.2728,58.8727,Jõgeva county,4
Kunda,26.54139442,59.52138449,Lääne-Viru county,5
Väike-Maarja,26.23083378,59.14138629,Lääne-Viru county,5
Haapsalu,23.55500132,58.94444117,Lääne county,6
Lääne-Nigula,23.81556286,58.95111492,Lääne county,6
Osmussaare,23.36042,59.303865,Lääne county,6
Häädemeeste,24.4580549,58.03666565,Pärnu county,7
Kihnu,23.97027258,58.09860818,Pärnu county,7
Pärnu,24.485278,58.384444,Pärnu county,7
Virtsu,23.51360654,58.57277442,Pärnu county,7
Kuusiku,24.733923,58.973191,Rapla county,9
Roomassaare,22.50639655,58.21805917,Saare county,10
Ruhnu,23.25888476,57.7833292,Saare county,10
Sõrve,22.05805927,57.91360902,Saare county,10
Vilsandi,21.81416122,58.38277854,Saare county,10
Tartu-Tõravere,26.4613,58.2641,Tartu county,11
Valga,26.0377,57.79,Valga county,13
Viljandi,25.60027267,58.37778141,Viljandi county,14
Võru,27.0195,57.8463,Võru county,15